상호명,서비스,음식,편의성,가격,행정동,중분류,업종,naver_map_url
L.A.D,1.05,0.74,0.71,0.91,서교동,한식,한식/백반/한정식,https://m.place.naver.com/restaurant/1857845585
국수찾아닭만리,1.1,1.01,0.79,1.15,종로1.2.3.4가동,닭/오리요리,후라이드/양념치킨,https://m.place.naver.com/restaurant/38551896
동남식당,1.18,1.05,0.85,1.0,종로1.2.3.4가동,한식,한식/백반/한정식,https://m.place.naver.com/restaurant/19409874
강강술래,1.25,1.33,1.21,1.21,역삼1동,한식,한식/백반/한정식,https://m.place.naver.com/restaurant/11589288
한성양꼬치,1.01,1.14,0.81,0.82,역삼1동,유흥주점,꼬치구이전문점,https://m.place.naver.com/restaurant/35407703
닭곰탕,2.5,2.97,2.38,3.01,종로1.2.3.4가동,닭/오리요리,삼계탕전문,https://m.place.naver.com/restaurant/36932262
이조한아름갈비,1.02,1.0,0.73,0.87,역삼1동,한식,갈비/삼겹살,https://m.place.naver.com/restaurant/33674982
홍콩포차,1.76,1.26,1.06,1.36,서교동,유흥주점,꼬치구이전문점,https://m.place.naver.com/restaurant/1840855832
맛골,1.15,0.99,0.85,0.95,역삼1동,한식,한식/백반/한정식,https://m.place.naver.com/restaurant/1246642620
선오뎅,0.69,0.55,0.46,0.41,역삼1동,유흥주점,소주방/포장마차,https://m.place.naver.com/restaurant/31549806
광화문수제비,1.06,0.95,0.83,0.86,종로1.2.3.4가동,분식,국수/만두/칼국수,https://m.place.naver.com/restaurant/1253569318
최고네,1.09,1.12,0.87,0.93,서교동,한식,한식/백반/한정식,https://m.place.naver.com/restaurant/19993994
깐부치킨홍대동교동점,1.03,0.8,0.73,0.86,서교동,닭/오리요리,후라이드/양념치킨,https://m.place.naver.com/restaurant/32731536
카스호프뱅크,1.36,1.19,1.18,1.1,종로1.2.3.4가동,유흥주점,호프/맥주,https://m.place.naver.com/restaurant/1250471185
한일식당,1.32,1.31,1.07,1.04,종로1.2.3.4가동,한식,한식/백반/한정식,https://m.place.naver.com/restaurant/11862556
곱창고,1.54,1.84,1.3,1.53,역삼1동,한식,곱창/양구이전문,https://m.place.naver.com/restaurant/37108078
짱주먹밥,1.57,1.6,1.05,1.31,서교동,분식,라면김밥분식,https://m.place.naver.com/restaurant/31592378
신촌장어,1.0,0.75,0.7,0.83,서교동,일식/수산물,민물장어전문,https://m.place.naver.com/restaurant/13546770
쿠바,2.48,1.82,1.22,1.85,역삼1동,한식,한식/백반/한정식,https://m.place.naver.com/restaurant/1312385920
홍매,0.98,0.7,0.69,0.77,종로1.2.3.4가동,한식,한식/백반/한정식,https://m.place.naver.com/restaurant/597016466
텀블러비어역삼직영점,1.32,0.79,0.74,0.89,역삼1동,유흥주점,호프/맥주,https://m.place.naver.com/restaurant/12788575
엉클조,1.28,1.12,0.83,0.91,종로1.2.3.4가동,유흥주점,호프/맥주,https://m.place.naver.com/restaurant/11729137
광동포차,1.4,1.11,0.78,0.87,서교동,유흥주점,소주방/포장마차,https://m.place.naver.com/restaurant/31429249
네티안,1.2,0.89,0.8,0.8,역삼1동,한식,한식/백반/한정식,https://m.place.naver.com/restaurant/1773847950
